id,prk_place_nm,prk_style,prk_type,location,address,prk_charge_info,rating,five_days_system,open_days,weekday_open_hhmm,weekday_colse_hhmm,sat_oper_open_hhmm,sat_close_hhmm,holiday_open_hhmm,holiday_close_hhmm,fee,basic_time,basic_fee,additional_time,additional_fee,daily_ticket_applicable_time,daily_ticket_fee,monthly_pass_fee,payment_method,special_notes,management_agency,phone_number,data_standard_date
94,하얏트아파트 주변,공영,노상,-,부산광역시 남구 감만동 33-401번지,9,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,감만2동 청년회,051-607-6842,2023-05-25
95,용호중학교 옆 공영주차장,공영,노외,부산광역시 남구 동명로 185-2,부산광역시 남구 용호동 514-4번지,42,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호3동 단체장협의회,051-607-6764,2023-05-25
96,동명로118번길 공영주차장,공영,노외,-,부산광역시 남구 용호동 485-16번지,20,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호4동 주민자치위원회,051-607-6782,2023-05-25
97,용호로232번길 공영주차장,공영,노외,-,부산광역시 남구 용호동 536-1번지,28,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호4동 주민자치위원회,051-607-6782,2023-05-25
98,용호4동 주민센터 주변,공영,노상,부산광역시 남구 동명로132번길 81,부산광역시 남구 용호동 534-18번지,19,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호4동 주민자치위원회,051-607-6782,2023-05-25
99,해군아파트아래 담장길,공영,노상,부산광역시 남구 동명로118번길 125,부산광역시 남구 용호동 534-30번지,11,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호4동 주민자치위원회,051-607-6782,2023-05-25
100,용호로178번길 공영주차장,공영,노외,-,부산광역시 남구 용호동 485-2번지,25,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호4동 주민자치위원회,051-607-6782,2023-05-25
101,솔밭공원 윗길,공영,노상,-,부산광역시 남구 용호동 409-22번지,10,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호1동 주민자치위원회,051-607-6734,2023-05-25
102,솔밭공원 아랫길,공영,노상,-,부산광역시 남구 용호동 356-1번지,10,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호1동 주민자치위원회,051-607-6734,2023-05-25
103,용호성당 주변,공영,노상,-,부산광역시 남구 용호동 487-9번지,4,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호1동 주민자치위원회,051-607-6734,2023-05-25
104,삼성시장 배수펌프장 상부,공영,노외,-,부산광역시 남구 용호동 265-4번지,18,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호1동 주민자치위원회,051-607-6734,2023-05-25
105,용호1동 제4공영주차장,공영,노외,부산광역시 남구 동명로101번다길 26,부산광역시 남구 용호동 221-1번지,17,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호1동 주민자치위원회,051-607-6734,2023-05-25
106,백세교,공영,노외,-,부산광역시 남구 용호동 869번지,28,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호2동 주민자치위원회,051-607-6745,2023-05-25
107,다보네가구 주차장(부설개방),공영,노외,부산광역시 남구 이기대공원로 450,부산광역시 남구 용호동 566-3번지,5,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호2동 주민자치위원회,051-607-6745,2023-05-25
108,동산그린아파트 앞,공영,노외,부산광역시 남구 동명로170번길 100-1,부산광역시 남구 용호동 527-11번지,10,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호2동 주민자치위원회,051-607-6745,2023-05-25
109,용호종합복지관주변,공영,노상,-,부산광역시 남구 용호동 85-2번지,21,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호3동 단체장협의회,051-607-6764,2023-05-25
110,분포맨션주변,공영,노상,-,부산광역시 남구 용호동 368-3번지,8,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호3동 단체장협의회,051-607-6764,2023-05-25
111,동명로157번길 공영주차장,공영,노외,-,부산광역시 남구 용호동 373-15번지,23,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호3동 단체장협의회,051-607-6764,2023-05-25
112,동보빌리지 주변,공영,노상,-,부산광역시 남구 대연동 1479-22번지,10,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연5동 주민자치위원회,051-607-6688,2023-05-25
113,못골성당 앞,공영,노상,-,부산광역시 남구 대연동 1535-2번지,7,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연5동 주민자치위원회,051-607-6688,2023-05-25
114,충무동제7공영,공영,노상,-,부산광역시 서구 충무동1가 43-1,8,2,요일제,평일+토요일+공휴일,8:00,21:00,8:00,21:00,8:00,21:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
115,암남동제5공영,공영,노상,-,부산광역시 서구 암남동 123-50,33,2,요일제,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
116,서구 원양로제1공영,공영,노상,-,부산광역시 서구 암남동 633-2,81,4,요일제,평일+토요일,7:00,20:00,7:00,20:00,0:00,0:00,유료,10,100,10,100,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
117,충무동새벽시장공영,공영,노외,-,부산광역시 서구 남부민동 685-1,68,2,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,300,10,300,24,0,0,현금+신용카드,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
118,송도공영,공영,노외,-,부산광역시 서구 암남동 579,49,2,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,300,10,300,24,0,0,현금+신용카드,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
119,망양공영,공영,노외,-,부산광역시 서구 동대신동1가 11-15,101,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금+신용카드,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
120,북산리공영,공영,노외,-,부산광역시 서구 동대신동2가 79-39,99,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
121,고운들공영,공영,노외,-,부산광역시 서구 서대신동2가 509-233,81,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
122,동대1제5공영,공영,노상,-,부산광역시 서구 동대신동1가 340,15,2,요일제,평일+토요일,8:00,21:00,8:00,21:00,0:00,0:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
123,동대2제1공영,공영,노상,-,부산광역시 서구 동대신동2가 452-4,5,2,요일제,평일+토요일,8:00,21:00,8:00,21:00,0:00,0:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
124,부민동제4공영,공영,노상,-,부산광역시 서구 부용동1가 66-1,15,2,요일제,평일+토요일+공휴일,8:00,21:00,8:00,21:00,8:00,21:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
125,아미제2공영,공영,노상,-,부산광역시 서구 아미동1가 1,11,2,요일제,평일+토요일,8:00,21:00,8:00,21:00,0:00,0:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
126,충무동제2공영,공영,노상,-,부산광역시 서구 토성동3가 32,12,2,요일제,평일+토요일,8:00,21:00,8:00,21:00,0:00,0:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
127,충무동제5공영,공영,노상,-,부산광역시 서구 토성동1가 8-1,13,2,요일제,평일+토요일,8:00,21:00,8:00,21:00,0:00,0:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
128,남부민1동제1공영,공영,노상,-,부산광역시 서구 남부민동 695-2,14,2,요일제,평일+토요일,6:00,18:00,6:00,18:00,0:00,0:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
129,남부민2동제2공영,공영,노상,-,부산광역시 서구 남부민동 692-2,23,2,요일제,평일+토요일,6:00,18:00,6:00,18:00,0:00,0:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
130,남부민2동제3공영,공영,노상,-,부산광역시 서구 남부민동 705,14,2,요일제,평일+토요일,7:00,20:00,7:00,20:00,0:00,0:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
131,암남동제1공영,공영,노상,-,부산광역시 서구 암남동 135-2,38,2,요일제,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,10,300,10,300,13,0,0,현금+신용카드,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,한신문화타운맞은편,공영,노상,-,부산광역시 남구 용당동 565-26번지,21,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용당동 주민자치위원회,051-607-6802,2023-05-25
134,유엔평화로 153번길,공영,노상,부산광역시 남구 유엔평화로153번길 20,부산광역시 남구 용당동 552-16번지,9,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용당동 주민자치위원회,051-607-6802,2023-05-25
135,해돋이공영,공영,노외,-,부산광역시 서구 남부민동 50-13,101,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
136,부민동공영,공영,노외,-,부산광역시 서구 부민동3가 56,64,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
137,부민동제2공영,공영,노외,-,부산광역시 서구 부민동3가 36-1,30,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
138,남부민2동공영,공영,노외,-,부산광역시 서구 남부민동 595-2,149,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
139,충무동골목시장공영,공영,노외,-,부산광역시 서구 충무동1가 37-1,13,2,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,300,10,300,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
140,암남공원공영,공영,노외,-,부산광역시 서구 암남동 620-4,337,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,300,10,300,24,0,0,현금+신용카드,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
141,천해로공영,공영,노외,-,부산광역시 서구 남부민동 434-227,54,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
142,서구 원양로제2공영,공영,노상,-,부산광역시 서구 암남동 633-2,24,4,요일제,평일+토요일,7:00,20:00,7:00,20:00,0:00,0:00,유료,10,100,10,100,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
143,시약로공영,공영,노외,-,부산광역시 서구 서대신동3가 92,20,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
144,암남동제2공영,공영,노상,-,부산광역시 서구 암남동 135-8,31,2,요일제,평일+토요일+공휴일,11:00,23:00,11:00,23:00,11:00,23:00,유료,10,300,10,300,13,0,0,현금+신용카드,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
145,암남동제7공영,공영,노상,-,부산광역시 서구 암남동 537-4,36,2,요일제,평일+토요일+공휴일,11:00,23:00,11:00,23:00,11:00,23:00,유료,10,300,10,300,13,0,0,현금+신용카드,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
146,암남동제8공영,공영,노상,-,부산광역시 서구 암남동 614-5,50,2,요일제,평일+토요일+공휴일,11:00,23:00,11:00,23:00,11:00,23:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
147,암남동제10공영,공영,노상,-,부산광역시 서구 암남동 95-13,55,2,요일제,평일+토요일,8:00,21:00,8:00,21:00,0:00,0:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
148,남부민2동제1공영,공영,노상,-,부산광역시 서구 남부민동 705,13,2,요일제,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,10,300,10,300,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
149,동대1제4공영,공영,노상,-,부산광역시 서구 동대신동1가 9-48,15,4,요일제,평일+토요일,9:00,22:00,9:00,22:00,0:00,0:00,유료,10,100,10,100,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
150,서대4제1공영,공영,노상,-,부산광역시 서구 서대신동3가 산2-6,19,4,요일제,평일+토요일,7:00,20:00,7:00,20:00,0:00,0:00,유료,10,100,10,100,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
151,서대4제2공영,공영,노상,-,부산광역시 서구 서대신동3가 147-45,12,4,요일제,평일+토요일,8:00,21:00,8:00,21:00,0:00,0:00,유료,10,100,10,100,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
152,서대4제3공영,공영,노상,-,부산광역시 서구 서대신동3가 7-5,22,4,요일제,평일+토요일+공휴일,8:00,21:00,8:00,21:00,8:00,21:00,유료,10,100,10,100,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
153,초장동제1공영,공영,노상,-,부산광역시 서구 초장동 128-28,36,4,요일제,평일+토요일,7:00,20:00,7:00,20:00,0:00,0:00,유료,10,100,10,100,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
154,초장동제2공영,공영,노상,-,부산광역시 서구 초장동 89-87,37,4,요일제,평일+토요일,7:00,20:00,7:00,20:00,0:00,0:00,유료,10,100,10,100,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
155,등대로공영,공영,노상,-,부산광역시 서구 암남동 123-37,48,4,요일제,평일+토요일+공휴일,8:00,21:00,8:00,21:00,8:00,21:00,유료,10,100,10,100,13,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4555,2023-04-21
156,오반장주차장,민영,노외,부산광역시 해운대구 구남로24번길 20(우동),부산광역시 해운대구 우동542-11,16,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
157,온천주차장,민영,노외,-,"부산광역시 해운대구 중동1226-3,14,15,1370-2,3,4",158,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
158,왕자주차장,민영,노외,부산광역시 해운대구 선수촌로21번길 7,부산광역시 해운대구 반여동1405-37,10,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
159,상월우동주차장,민영,노외,-,"부산광역시 해운대구 우동437-3,439-1,440-3",29,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,6500,50000,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
160,우양주차장,민영,노외,부산광역시 해운대구 반송로 833(반송동),부산광역시 해운대구 반송동683-18,12,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
161,우일주차장,민영,노외,부산광역시 해운대구 우동2로30번길 3(우동),부산광역시 해운대구 우동442-1,5,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
162,원도주차장,민영,노외,-,부산광역시 해운대구 송정동306-10,5,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
163,유로주차장,민영,노외,부산광역시 해운대구 우동2로30번가길 11(우동),부산광역시 해운대구 우동229-4,3,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,50000,현금,월주차만,부산광역시 해운대구청,051-749-4884,2023-05-17
164,남천1동 공영주차장,공영,노상,부산광역시 수영구 황령대로 489번길 45,"부산광역시 수영구 남천동 554, 568 일원",66,3,미시행,평일+토요일,9:00,22:00,9:00,22:00,0:00,0:00,유료,10,200,10,200,0,0,0,현금+신용카드,「부산광역시 주차장 설치 및 관리 조례」 제3조의2에 따라 감면,부산광역시 수영구청,051-610-4554,2023-05-22
165,민락매립지 공영주차장,공영,노외,부산광역시 수영구 민락수변로17번길 60 (민락동),"부산광역시 수영구 민락동 113-46, 50",128,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,300,10,300,24,8000,160000,현금+신용카드,「부산광역시 주차장 설치 및 관리 조례」 제3조의2에 따라 감면,부산광역시 수영구청,051-610-4554,2023-05-22
166,광안리해수욕장 공영주차장,공영,노외,부산광역시 수영구 남천바다로33번길 75 (광안동),부산광역시 수영구 광안동 198-3,54,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,500,10,500,24,15000,240000,현금+신용카드,「부산광역시 주차장 설치 및 관리 조례」 제3조의2에 따라 감면,부산광역시 수영구청,051-610-4554,2023-05-22
167,망미동노외공영주차장,공영,노외,부산광역시 수영구 금련로43번길 17 (망미동),부산광역시 수영구 망미동 979-73,171,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,2400,52000,현금+신용카드,「부산광역시 주차장 설치 및 관리 조례」 제3조의2에 따라 감면,부산광역시 수영구청,051-610-4554,2023-05-22
168,민락수변공원 공영주차장,공영,노상,부산광역시 수영구 민락수변로 109,부산광역시 수영구 민락동 110-7,43,2,미시행,평일+토요일+공휴일,10:00,2:00,10:00,2:00,10:00,2:00,유료,10,300,10,300,24,8000,160000,현금+신용카드,「부산광역시 주차장 설치 및 관리 조례」 제3조의2에 따라 감면,부산광역시 수영구청,051-610-4554,2023-05-22
169,민락해변공원 공영주차장,공영,노상,부산광역시 수영구 광안해변로 278번길 42,부산광역시 수영구 민락동 181-78,26,2,미시행,평일+토요일+공휴일,9:00,1:00,9:00,1:00,9:00,1:00,유료,10,300,10,300,0,0,0,현금+신용카드,「부산광역시 주차장 설치 및 관리 조례」 제3조의2에 따라 감면,부산광역시 수영구청,051-610-4554,2023-05-22
170,호암골 공영주차장,공영,노외,부산광역시 수영구 호암로 71(광안동),부산광역시 수영구 광안동 1146,53,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,2400,52000,현금+신용카드,「부산광역시 주차장 설치 및 관리 조례」 제3조의2에 따라 감면,부산광역시 수영구청,051-610-4554,2023-05-22
171,구덕꽃마을공영,공영,노외,-,부산광역시 서구 서대신동3가 산 10-1,125,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
172,아미까치공영,공영,노외,-,부산광역시 서구 아미동2가 249-1,69,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
173,아미골공영,공영,노외,-,부산광역시 서구 아미동2가 212-8,62,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
174,아미초등학교지하공영,공영,노외,-,부산광역시 서구 아미동2가 89,75,4,요일제,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,24,0,0,현금,부산광역시 주차장 설치 및 관리 조례에 따른 주차요금 감면 적용,부산광역시 서구청,051-240-4512,2023-04-21
175,조은주차빌딩주차장,민영,노외,부산광역시 해운대구 반여로 116(반여동),부산광역시 해운대구 반여동1627-2,33,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
176,조이박주차장,민영,노외,-,부산광역시 해운대구 재송동521-1,2,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
177,주차장,민영,노외,-,부산광역시 해운대구 중동 276-1,20,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
178,주차장,민영,노외,-,부산광역시 해운대구 중동1480-4,6,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
179,중동주차장,민영,노외,부산광역시 해운대구 달맞이길 22(중동),부산광역시 해운대구 중동1139-4,33,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
180,지에스타임즈스테이션센텀필주차장,민영,노외,부산광역시 해운대구 센텀동로 102(재송동),부산광역시 해운대구 재송동1220,290,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,1000,30,1000,0,20000,70000,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
181,진영주차장,민영,노외,부산광역시 해운대구 아랫반송로90번길 11-17(반송동),"부산광역시 해운대구 반송동250-2296,2297",7,기타,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,0,0,0,0,0,0,0,현금,-,부산광역시 해운대구청,051-749-4884,2023-05-17
